TAKEN,RANK,PLAYER Team (Bye),POS
,163,Tyrone Tracy Jr. NYG (11),RB
,164,New York Jets DST (12),DST
,165,Michael Wilson ARI (11),WR
,166,Ka'imi Fairbairn HOU (14),K
,167,Braelon Allen NYJ (12),RB
,168,Ray Davis BUF (12),RB
,169,Jake Elliott PHI (5),K
,170,Bucky Irving TB (11),RB
,171,Younghoe Koo ATL (12),K
,172,Darnell Mooney ATL (12),WR
,173,Jake Moody SF (9),K
,174,Baltimore Ravens DST (14),DST
,175,Hunter Henry NE (14),TE
,176,Will Levis TEN (5),QB
,177,Ja'Lynn Polk NE (14),WR
,178,Dallas Cowboys DST (7),DST
,179,Elijah Mitchell SF (9),RB
,180,Kendre Miller NO (12),RB
,181,Khalil Herbert CHI (7),RB
,182,Geno Smith SEA (10),QB
,183,Quentin Johnston LAC (5),WR
,184,Tyler Conklin NYJ (12),TE
,185,Isaiah Likely BAL (14),TE
,186,Evan McPherson CIN (12),K
,187,Ricky Pearsall SF (9),WR
,188,Cade Otton TB (11),TE
,189,DeMario Douglas NE (14),WR
,190,Justin Fields PIT (9),QB
,191,Jason Sanders MIA (6),K
,192,Cleveland Browns DST (10),DST
,193,Chigoziem Okonkwo TEN (5),TE
,194,Ben Sinnott WAS (14),TE
,195,Pittsburgh Steelers DST (9),DST
,196,Bo Nix DEN (14),QB
,197,Troy Franklin DEN (14),WR
,198,Tyler Bass BUF (12),K
,199,Cameron Dicker LAC (5),K
,200,Jermaine Burton CIN (12),WR
,201,Bryce Young CAR (11),QB
,202,Miami Dolphins DST (6),DST
,203,Dameon Pierce HOU (14),RB
,204,Daniel Jones NYG (11),QB
,205,Derek Carr NO (12),QB
,206,Roschon Johnson CHI (7),RB
,207,Clyde Edwards-Helaire KC (6),RB
,208,Audric Estime DEN (14),RB
,209,Jonnu Smith MIA (6),TE
,210,Kansas City Chiefs DST (6),DST
,211,Drake Maye NE (14),QB
,212,Jason Myers SEA (10),K
,213,Buffalo Bills DST (12),DST
,214,Noah Fant SEA (10),TE
,215,Sam Darnold MIN (6),QB
,216,Russell Wilson PIT (9),QB
,217,Alexander Mattison LV (10),RB
,218,Wan'Dale Robinson NYG (11),WR
,219,Marvin Mims Jr. DEN (14),WR
,220,Tank Bigsby JAC (12),RB
,221,Kenneth Gainwell PHI (5),RB
,222,Rashod Bateman BAL (14),WR
,223,Philadelphia Eagles DST (5),DST
,224,Will Shipley PHI (5),RB
,225,Houston Texans DST (14),DST
,226,Mike Gesicki CIN (12),TE
,227,Jordan Mason SF (9),RB
,228,Justice Hill BAL (14),RB
,229,Roman Wilson PIT (9),WR
,230,Gardner Minshew II LV (10),QB
,231,Demarcus Robinson LAR (6),WR
,232,Tyler Boyd TEN (5),WR
,233,Daniel Carlson LV (10),K
,234,Luke McCaffrey WAS (14),WR
,235,Las Vegas Raiders DST (10),DST
,236,AJ Dillon GB (10),RB
,237,Juwan Johnson NO (12),TE
,238,D'Onta Foreman CLE (10),RB
,239,Jamaal Williams NO (12),RB
,240,Keaton Mitchell BAL (14),RB
,241,Greg Dulcich DEN (14),TE
,242,Tampa Bay Buccaneers DST (11),DST
,243,New Orleans Saints DST (12),DST
,244,Zach Ertz WAS (14),TE
,245,Ja'Tavion Sanders CAR (11),TE
,246,Jalen Tolbert DAL (7),WR
,247,Michael Penix Jr. ATL (12),QB
,248,Miles Sanders CAR (11),RB
,249,Samaje Perine DEN (14),RB
,250,Greg Dortch ARI (11),WR
,251,Seattle Seahawks DST (10),DST
,252,New York Giants DST (11),DST
,253,Matt Gay IND (14),K
,254,Malachi Corley NYJ (12),WR
,255,Washington Commanders DST (14),DST
,256,Colby Parkinson LAR (6),TE
,257,Jalen McMillan TB (11),WR
,258,New England Patriots DST (14),DST
,259,Eric Gray NYG (11),RB
,260,Detroit Lions DST (5),DST
,261,Odell Beckham Jr. MIA (6),WR
,262,Dylan Laube LV (10),RB
,263,DJ Chark Jr. LAC (5),WR
,264,Chicago Bears DST (7),DST
,265,Jacoby Brissett NE (14),QB
,266,Hayden Hurst LAC (5),TE
,267,Minnesota Vikings DST (6),DST
,268,Dyami Brown WAS (14),WR
,269,Aidan O'Connell LV (10),QB
,270,Javon Baker NE (14),WR
,271,Jalin Hyatt NYG (11),WR
,272,Isaac Guerendo SF (9),RB
,273,Trey Sermon IND (14),RB
,274,Kareem Hunt,RB
,275,Indianapolis Colts DST (14),DST
,276,Devontez Walker BAL (14),WR
,277,Greg Zuerlein NYJ (12),K
,278,Darius Slayton NYG (11),WR
,279,Theo Johnson NYG (11),TE
,280,Dawson Knox BUF (12),TE
,281,Wil Lutz DEN (14),K
,282,Tennessee Titans DST (5),DST
,283,Cairo Santos CHI (7),K
,284,Jordan Whittington LAR (6),WR
,285,Atlanta Falcons DST (12),DST
,286,Daniel Bellinger NYG (11),TE
,287,Zay Jones ARI (11),WR
,288,Andrei Iosivas CIN (12),WR
,289,Tre Tucker LV (10),WR
,290,Jameis Winston CLE (10),QB
,291,Nick Mullens MIN (6),QB
,292,Tucker Kraft GB (10),TE
,293,Tim Patrick DEN (14),WR
,294,Jelani Woods IND (14),TE
,295,Cincinnati Bengals DST (12),DST
,296,Brenden Rice LAC (5),WR
,297,Deneric Prince KC (6),RB
,298,Elijah Moore CLE (10),WR
,299,Michael Thomas,WR
,300,Leroy Watson IV TEN (5),TE
,301,Will Reichard MIN (6),K
,302,Joe Flacco IND (14),QB
,303,Jake Browning CIN (12),QB
,304,Jacksonville Jaguars DST (12),DST
,305,Andy Janovich,RB
,306,Sione Vaki DET (5),RB
,307,Jake Bates DET (5),K
